NU_INSCRICAO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q005,Q006,Q025
160000434210,SP,23,F,1,418.9,430.2,546.4,535.6,560,5,F,B
160000434211,SP,20,F,3,,,,,,5,J,B
160000434212,PI,22,F,3,,,,,,5,A,A
160000434213,MG,19,M,2,488.8,634,594.4,548.4,640,4,E,B
160000434214,MG,22,F,1,,,,,,4,C,A
160000434215,SP,25,F,4,,,,,,2,C,B
160000434216,PR,22,M,1,435,566.1,511.2,553.8,0,3,G,B
160000434217,SP,31,F,3,511.2,631.5,553.2,611.2,540,3,C,A
160000434218,ES,23,M,2,,,,,,2,E,B
160000434219,CE,15,F,3,495.6,577.3,550.4,396.4,480,4,G,B
160000434220,SP,33,F,1,575.1,780.1,701.6,644,680,2,K,B
160000434221,RJ,17,F,1,756.4,680.2,670.3,836.1,780,3,Q,B
160000434222,MA,21,M,1,,,494.4,410.2,480,3,C,A
160000434223,MG,16,M,3,533.5,514.3,543.8,569,600,3,A,A
160000434224,SC,19,F,3,529.6,574,576.2,488.3,760,5,F,B
160000434225,MG,29,M,1,448,595.1,,,,5,D,B
160000434226,BA,19,M,2,,,,,,2,B,A
160000434227,PR,18,M,2,455.5,517.8,564.2,370.6,520,6,G,B
160000434228,PR,21,F,1,,,,,,5,C,B
160000434229,GO,37,M,1,569.2,672.2,614.8,642,700,2,H,B
160000434230,PR,28,M,1,,,,,,4,H,B
160000434231,CE,25,M,3,559,648.7,601.4,517,580,3,E,B
160000434232,SP,19,F,1,384.7,520.2,570.2,486.4,520,5,E,B
160000434233,CE,25,F,3,,,,,,4,C,B
160000434234,MG,19,F,1,505.2,642,618.5,449.8,580,5,C,B
160008618154,PE,25,F,1,616.7,610.3,599.2,756.2,620,3,E,B
160000434235,SP,19,F,1,,,,,,1,C,A
160000434236,PR,37,F,1,,,,,,4,G,B
160008493025,PR,19,M,1,528.1,569.9,,,,3,I,B
160000434237,RJ,17,F,1,655.7,770.3,690.8,741.5,920,4,P,B
160000434238,MG,29,F,1,,,,,,4,D,A
160000434239,SP,25,F,3,,,,,,3,C,B
160000434240,BA,22,F,2,,,,,,1,B,A
